mesa_number;tipo_ubicacion;circunscripcion_electoral;departamento;provincia;distrito;teh
886895;NACIONAL;MOQUEGUA;AMAZONAS;BONGARA;JAZAN;300
664385;NACIONAL;PUNO;AMAZONAS;BONGARA;RECTA;300
344938;NACIONAL;APURIMAC;AMAZONAS;BONGARA;RECTA;300
916430;NACIONAL;PASCO;AMAZONAS;BONGARA;RECTA;300
959980;NACIONAL;LA LIBERTAD;AMAZONAS;BONGARA;SAN CARLOS;300
204353;NACIONAL;CUSCO;AMAZONAS;BONGARA;SAN CARLOS;300
130784;NACIONAL;SAN MARTIN;AMAZONAS;BONGARA;SHIPASBAMBA;300
422663;NACIONAL;CUSCO;AMAZONAS;BONGARA;SHIPASBAMBA;300
830731;NACIONAL;ANCASH;AMAZONAS;BONGARA;SHIPASBAMBA;300
739227;NACIONAL;CAJAMARCA;AMAZONAS;BONGARA;VALERA;300
913747;NACIONAL;AYACUCHO;AMAZONAS;BONGARA;VALERA;300
315701;NACIONAL;TACNA;AMAZONAS;BONGARA;VALERA;300
790355;NACIONAL;SAN MARTIN;AMAZONAS;BONGARA;VALERA;300
642665;NACIONAL;MADRE DE DIOS;AMAZONAS;BONGARA;VALERA;300
705255;NACIONAL;PASCO;AMAZONAS;BONGARA;VALERA;300
551796;NACIONAL;JUNIN;AMAZONAS;BONGARA;VALERA;300
609723;NACIONAL;CUSCO;AMAZONAS;BONGARA;YAMBRASBAMBA;300
658345;NACIONAL;CALLAO;AMAZONAS;BONGARA;YAMBRASBAMBA;300
467597;NACIONAL;HUANUCO;AMAZONAS;BONGARA;YAMBRASBAMBA;300
156185;NACIONAL;CUSCO;AMAZONAS;BONGARA;YAMBRASBAMBA;300
731125;NACIONAL;AREQUIPA;AMAZONAS;CONDORCANQUI;NIEVA;300
191544;NACIONAL;ICA;AMAZONAS;CONDORCANQUI;NIEVA;300
214478;NACIONAL;ICA;AMAZONAS;CONDORCANQUI;NIEVA;300
996317;NACIONAL;TUMBES;AMAZONAS;CONDORCANQUI;NIEVA;300
449415;NACIONAL;AMAZONAS;AMAZONAS;CONDORCANQUI;NIEVA;300
479300;NACIONAL;CALLAO;AMAZONAS;CONDORCANQUI;NIEVA;300
177136;NACIONAL;PUNO;AMAZONAS;CONDORCANQUI;NIEVA;300
706909;NACIONAL;LA LIBERTAD;AMAZONAS;CONDORCANQUI;EL CENEPA;300
255446;NACIONAL;MOQUEGUA;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;300
131361;NACIONAL;TUMBES;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;300
646599;NACIONAL;CUSCO;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;300
887110;NACIONAL;ANCASH;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;300
332765;NACIONAL;CALLAO;AMAZONAS;LUYA;LAMUD;300
540839;NACIONAL;PIURA;AMAZONAS;LUYA;LAMUD;300
257774;NACIONAL;JUNIN;AMAZONAS;LUYA;LAMUD;300
810738;NACIONAL;PUNO;AMAZONAS;LUYA;CAMPORREDONDO;300
312909;NACIONAL;TUMBES;AMAZONAS;LUYA;CAMPORREDONDO;300
233644;NACIONAL;SAN MARTIN;AMAZONAS;LUYA;CAMPORREDONDO;300
194504;NACIONAL;CUSCO;AMAZONAS;LUYA;CAMPORREDONDO;300
534803;NACIONAL;PIURA;AMAZONAS;LUYA;CAMPORREDONDO;300
457087;NACIONAL;HUANUCO;AMAZONAS;LUYA;CAMPORREDONDO;300
124765;NACIONAL;AREQUIPA;AMAZONAS;LUYA;COCABAMBA;300
437725;NACIONAL;MOQUEGUA;AMAZONAS;LUYA;COCABAMBA;300
656602;NACIONAL;PASCO;AMAZONAS;LUYA;COCABAMBA;300
978212;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;COCABAMBA;300
707959;NACIONAL;CAJAMARCA;AMAZONAS;LUYA;COCABAMBA;300
417676;NACIONAL;LAMBAYEQUE;AMAZONAS;LUYA;COCABAMBA;300
794628;NACIONAL;AYACUCHO;AMAZONAS;LUYA;COLCAMAR;300
497513;NACIONAL;AREQUIPA;AMAZONAS;LUYA;COLCAMAR;300
962270;NACIONAL;AMAZONAS;AMAZONAS;LUYA;COLCAMAR;300
613168;NACIONAL;ICA;AMAZONAS;LUYA;COLCAMAR;300
573822;NACIONAL;LA LIBERTAD;AMAZONAS;LUYA;COLCAMAR;300
604634;NACIONAL;APURIMAC;AMAZONAS;LUYA;COLCAMAR;300
102183;NACIONAL;CAJAMARCA;AMAZONAS;LUYA;COLCAMAR;300
927728;NACIONAL;TACNA;AMAZONAS;LUYA;CONILA;300
578557;NACIONAL;CUSCO;AMAZONAS;LUYA;CONILA;300
858985;NACIONAL;LIMA PROVINCIAS;AMAZONAS;LUYA;CONILA;300
329759;NACIONAL;MOQUEGUA;AMAZONAS;LUYA;CONILA;300
689184;NACIONAL;APURIMAC;AMAZONAS;LUYA;CONILA;300
935879;NACIONAL;JUNIN;AMAZONAS;LUYA;INGUILPATA;300
518760;NACIONAL;MOQUEGUA;AMAZONAS;LUYA;LONGUITA;300
991447;NACIONAL;ICA;AMAZONAS;LUYA;LONGUITA;300
204560;NACIONAL;AMAZONAS;AMAZONAS;LUYA;LONGUITA;300
933220;NACIONAL;AREQUIPA;AMAZONAS;LUYA;LONGUITA;300
346875;NACIONAL;MADRE DE DIOS;AMAZONAS;LUYA;LONGUITA;300
449549;NACIONAL;PASCO;AMAZONAS;LUYA;LONGUITA;300
170058;NACIONAL;ANCASH;AMAZONAS;LUYA;LONGUITA;300
446298;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;LONYA CHICO;300
737883;NACIONAL;PUNO;AMAZONAS;LUYA;LONYA CHICO;300
491442;NACIONAL;MADRE DE DIOS;AMAZONAS;LUYA;LONYA CHICO;300
562305;NACIONAL;AYACUCHO;AMAZONAS;LUYA;LONYA CHICO;300
736477;NACIONAL;TACNA;AMAZONAS;LUYA;LONYA CHICO;300
758433;NACIONAL;MADRE DE DIOS;AMAZONAS;LUYA;LONYA CHICO;300
133017;NACIONAL;ANCASH;AMAZONAS;LUYA;LUYA;300
581246;NACIONAL;PIURA;AMAZONAS;LUYA;LUYA;300
864369;NACIONAL;APURIMAC;AMAZONAS;LUYA;LUYA VIEJO;300
810927;NACIONAL;HUANCAVELICA;AMAZONAS;LUYA;LUYA VIEJO;300
778244;NACIONAL;LORETO;AMAZONAS;LUYA;LUYA VIEJO;300
262867;NACIONAL;TACNA;AMAZONAS;LUYA;MARIA;300
485387;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;MARIA;300
877721;NACIONAL;CALLAO;AMAZONAS;LUYA;MARIA;300
307855;NACIONAL;AMAZONAS;AMAZONAS;LUYA;MARIA;300
635730;NACIONAL;TUMBES;AMAZONAS;LUYA;MARIA;300
397893;NACIONAL;PIURA;AMAZONAS;LUYA;MARIA;300
575842;NACIONAL;CAJAMARCA;AMAZONAS;LUYA;MARIA;300
871463;NACIONAL;AMAZONAS;AMAZONAS;LUYA;OCALLI;300
349400;NACIONAL;ANCASH;AMAZONAS;LUYA;OCALLI;300
546970;NACIONAL;CALLAO;AMAZONAS;LUYA;OCALLI;300
310455;NACIONAL;AYACUCHO;AMAZONAS;LUYA;OCALLI;300
112884;NACIONAL;TACNA;AMAZONAS;LUYA;OCALLI;300
678445;NACIONAL;MADRE DE DIOS;AMAZONAS;LUYA;OCALLI;300
719876;NACIONAL;CAJAMARCA;AMAZONAS;LUYA;OCALLI;300
828215;NACIONAL;ICA;AMAZONAS;LUYA;OCUMAL;300
725144;NACIONAL;HUANCAVELICA;AMAZONAS;LUYA;PISUQUIA;300
275425;NACIONAL;LIMA PROVINCIAS;AMAZONAS;LUYA;PISUQUIA;300
590001;NACIONAL;PASCO;AMAZONAS;LUYA;PISUQUIA;300
385873;NACIONAL;AMAZONAS;AMAZONAS;LUYA;PROVIDENCIA;300
626428;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;PROVIDENCIA;300
657632;NACIONAL;LAMBAYEQUE;AMAZONAS;LUYA;PROVIDENCIA;300
314781;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;PROVIDENCIA;300
352423;NACIONAL;ICA;AMAZONAS;LUYA;PROVIDENCIA;300
682860;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;PROVIDENCIA;300
490306;NACIONAL;LAMBAYEQUE;AMAZONAS;LUYA;PROVIDENCIA;300
126670;NACIONAL;LORETO;AMAZONAS;LUYA;SAN CRISTOBAL;300
414935;NACIONAL;MOQUEGUA;AMAZONAS;LUYA;SAN CRISTOBAL;300
343657;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;SAN CRISTOBAL;300
984741;NACIONAL;PUNO;AMAZONAS;LUYA;SAN CRISTOBAL;300
296473;NACIONAL;ANCASH;AMAZONAS;LUYA;SAN CRISTOBAL;300
228046;NACIONAL;MOQUEGUA;AMAZONAS;LUYA;SAN CRISTOBAL;300
244585;NACIONAL;LAMBAYEQUE;AMAZONAS;LUYA;SAN CRISTOBAL;300
704574;NACIONAL;PUNO;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;300
976866;NACIONAL;TACNA;AMAZONAS;LUYA;SAN JERONIMO;300
869755;NACIONAL;TUMBES;AMAZONAS;LUYA;SAN JERONIMO;300
222445;NACIONAL;LAMBAYEQUE;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;300
694056;NACIONAL;SAN MARTIN;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;300
837786;NACIONAL;AREQUIPA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;300
264721;NACIONAL;AYACUCHO;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;300
333589;NACIONAL;TACNA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;300
654658;NACIONAL;CAJAMARCA;AMAZONAS;LUYA;SANTA CATALINA;300
469829;NACIONAL;SAN MARTIN;AMAZONAS;LUYA;SANTA CATALINA;300
655756;NACIONAL;ANCASH;AMAZONAS;LUYA;SANTO TOMAS;300
252761;NACIONAL;ANCASH;AMAZONAS;LUYA;SANTO TOMAS;300
865114;NACIONAL;CALLAO;AMAZONAS;LUYA;TINGO;300
800224;NACIONAL;LAMBAYEQUE;AMAZONAS;LUYA;TINGO;300
707290;NACIONAL;ICA;AMAZONAS;LUYA;TINGO;300
860518;NACIONAL;LIMA METROPOLITANA;AMAZONAS;LUYA;TINGO;300
798229;NACIONAL;PIURA;AMAZONAS;LUYA;TINGO;300
658848;NACIONAL;AMAZONAS;AMAZONAS;LUYA;TRITA;300
393232;NACIONAL;MADRE DE DIOS;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;300
877271;NACIONAL;AMAZONAS;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;300
297550;NACIONAL;CAJAMARCA;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;300
150915;NACIONAL;AYACUCHO;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;300
957702;NACIONAL;AMAZONAS;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;300
194209;NACIONAL;MADRE DE DIOS;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;300
856634;NACIONAL;LORETO;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;300
267649;NACIONAL;PIURA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
859425;NACIONAL;PIURA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
864253;NACIONAL;JUNIN;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
214194;NACIONAL;CAJAMARCA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
482932;NACIONAL;SAN MARTIN;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
960672;NACIONAL;TACNA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
834642;NACIONAL;AMAZONAS;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;300
910051;NACIONAL;LA LIBERTAD;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;300
702057;NACIONAL;LIMA PROVINCIAS;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;300
301516;NACIONAL;TACNA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;300
272512;NACIONAL;MOQUEGUA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;300
532835;NACIONAL;CAJAMARCA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;300
654721;NACIONAL;SAN MARTIN;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;300
990420;NACIONAL;ICA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;300
215530;NACIONAL;PUNO;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;300
516260;NACIONAL;SAN MARTIN;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;300
282550;NACIONAL;TUMBES;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;300
659959;NACIONAL;CAJAMARCA;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;300
527541;NACIONAL;PASCO;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;300
212074;NACIONAL;CALLAO;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;300
994503;NACIONAL;APURIMAC;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;300
590691;NACIONAL;LAMBAYEQUE;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;300
376842;NACIONAL;JUNIN;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;300
491448;NACIONAL;UCAYALI;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;300
396454;NACIONAL;LAMBAYEQUE;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;300
724285;NACIONAL;ICA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;300
694091;NACIONAL;UCAYALI;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;300
700469;NACIONAL;CAJAMARCA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;300
968754;NACIONAL;MOQUEGUA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;300
653945;NACIONAL;ANCASH;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;300
435525;NACIONAL;CALLAO;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;300
155423;NACIONAL;LA LIBERTAD;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;300
666619;NACIONAL;ICA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;300
204076;NACIONAL;LIMA PROVINCIAS;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;300
236893;NACIONAL;ICA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;300
940386;NACIONAL;HUANUCO;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;300
361335;NACIONAL;TUMBES;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;300
723978;NACIONAL;HUANUCO;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;300
561969;NACIONAL;ANCASH;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;300
615374;NACIONAL;APURIMAC;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;300
963371;NACIONAL;SAN MARTIN;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;300
984055;NACIONAL;LIMA METROPOLITANA;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;300
577068;NACIONAL;LORETO;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;300
659553;NACIONAL;PUNO;AMAZONAS;UTCUBAMBA;CAJARURO;300
956212;NACIONAL;TACNA;AMAZONAS;UTCUBAMBA;CAJARURO;300
144181;NACIONAL;APURIMAC;AMAZONAS;UTCUBAMBA;CAJARURO;300
